"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"06/19/2020","AirNow","160850002","4","3.8","ug/m3 LC","16","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"06/20/2020","AirNow","160850002","4","6","ug/m3 LC","25","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"06/21/2020","AirNow","160850002","4","3.2","ug/m3 LC","13","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"06/22/2020","AirNow","160850002","4","3.1","ug/m3 LC","13","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"06/23/2020","AQS","160850002","4","4.3","ug/m3 LC","18","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"06/24/2020","AQS","160850002","4","5.6","ug/m3 LC","23","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"06/25/2020","AQS","160850002","4","3.8","ug/m3 LC","16","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"06/26/2020","AQS","160850002","4","7.4","ug/m3 LC","31","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"06/27/2020","AQS","160850002","4","5.5","ug/m3 LC","23","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"06/28/2020","AQS","160850002","4","3.7","ug/m3 LC","15","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"06/29/2020","AQS","160850002","4","3.8","ug/m3 LC","16","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"06/30/2020","AQS","160850002","4","4.8","ug/m3 LC","20","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"07/01/2020","AirNow","160850002","4","5.1","ug/m3 LC","21","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"07/02/2020","AirNow","160850002","4","5.1","ug/m3 LC","21","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"07/03/2020","AirNow","160850002","4","8.1","ug/m3 LC","34","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"07/04/2020","AirNow","160850002","4","15.2","ug/m3 LC","58","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"07/05/2020","AirNow","160850002","4","6.2","ug/m3 LC","26","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"07/06/2020","AirNow","160850002","4","6.1","ug/m3 LC","25","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"07/07/2020","AirNow","160850002","4","6.4","ug/m3 LC","27","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"07/08/2020","AirNow","160850002","4","4","ug/m3 LC","17","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"07/09/2020","AirNow","160850002","4","5.2","ug/m3 LC","22","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"07/10/2020","AirNow","160850002","4","5.5","ug/m3 LC","23","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"07/11/2020","AirNow","160850002","4","5.9","ug/m3 LC","25","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"07/12/2020","AirNow","160850002","4","5.7","ug/m3 LC","24","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"07/13/2020","AirNow","160850002","4","2.8","ug/m3 LC","12","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"07/14/2020","AirNow","160850002","4","3.6","ug/m3 LC","15","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
